transaction_id,customer_id,transaction_date,amount,quantity,product_category,product_name
TXNPF9L46OX7B,CUST67938622,2025-03-19 20:58:32.794066,188.68,3,Home & Garden,Furniture
TXNRZIJGQZMCW,CUST67938622,2025-01-28 20:58:32.794066,352.22,2,Office Supplies,Electronics
TXNG1Y9QRKOPH,CUST67938622,2025-02-23 20:58:32.794066,172.33,1,Clothing,Dress
TXNLCT1M7WTW7,CUST67938622,2024-09-07 20:58:32.794066,227.79,5,Automotive,Tools
TXN1OUXKNTVI5,CUST67938622,2025-05-21 20:58:32.794066,258.48,4,Automotive,Parts
TXN53HJJVPDXM,CUST67938622,2025-01-20 20:58:32.794066,227.57,4,Automotive,Parts
TXN19XGJN5TQF,CUST67938622,2025-10-16 20:58:32.794066,247.9,5,Office Supplies,Furniture
TXNQM1ZOPSAV8,CUST67938622,2024-09-23 20:58:32.794066,319.94,2,Clothing,Jeans
TXNZ37TCVB6RD,CUST67938622,2024-12-03 20:58:32.794066,226.87,5,Automotive,Car Accessories
TXN57A2Z83X42,CUST67938622,2026-01-22 20:58:32.794066,246.0,5,Electronics,Laptop
TXNBUZHFV78VF,CUST67938622,2026-01-07 20:58:32.794066,209.61,2,Books,Non-Fiction
TXNHPHE074D1W,CUST86796307,2025-10-26 20:58:32.794066,77.05,2,Electronics,Laptop
TXNYU5W2B2D5I,CUST86796307,2025-08-19 20:58:32.794066,88.28,5,Sports & Outdoors,Fitness Equipment
TXN4GYERSIOOO,CUST86796307,2025-07-06 20:58:32.794066,98.33,2,Clothing,Jacket
TXNAKK1GCMNQI,CUST86796307,2025-07-02 20:58:32.794066,37.07,5,Books,Comics
TXNPX0KIJMLK4,CUST86796307,2025-12-11 20:58:32.794066,57.13,2,Toys & Games,Action Figures
TXN20FDHHFMNA,CUST86796307,2025-11-18 20:58:32.794066,82.27,3,Electronics,Laptop
TXNV7LTDLA9QF,CUST86796307,2025-07-05 20:58:32.794066,68.51,2,Books,Educational
TXNS308XM5NF5,CUST86796307,2025-09-16 20:58:32.794066,44.84,2,Food & Beverages,Snacks
TXNUFBX2UWJSG,CUST86796307,2025-05-16 20:58:32.794066,74.28,5,Office Supplies,Desk Accessories
TXNFFLUREY3GA,CUST86796307,2025-11-30 20:58:32.794066,69.2,5,Books,Educational
TXN6OAV7AXZ5F,CUST86796307,2025-05-22 20:58:32.794066,36.07,2,Electronics,Headphones
TXNM4GZLTZW49,CUST86796307,2026-01-07 20:58:32.794066,42.28,1,Sports & Outdoors,Sportswear
TXNIYKHYT2DDJ,CUST86796307,2025-11-02 20:58:32.794066,79.62,3,Automotive,Parts
TXNRWM0RWL47V,CUST86796307,2026-01-06 20:58:32.794066,72.36,5,Sports & Outdoors,Fitness Equipment
TXN8DWLYALWZV,CUST86796307,2025-09-06 20:58:32.794066,73.34,2,Sports & Outdoors,Bicycle
TXNTUWLFX7RBF,CUST86796307,2025-11-18 20:58:32.794066,63.48,1,Sports & Outdoors,Camping Gear
TXNG9V5S636DO,CUST24437944,2025-12-23 20:58:32.794066,399.57,5,Office Supplies,Electronics
TXN1TU7MH5COE,CUST24437944,2025-11-16 20:58:32.794066,303.86,4,Books,Magazines
TXNGNC7KBTIRQ,CUST24437944,2025-12-08 20:58:32.794066,290.21,5,Health & Beauty,Skincare
TXNZ2W2ZE6TK3,CUST24437944,2026-01-03 20:58:32.794066,286.37,5,Office Supplies,Furniture
TXN2KW8ONILBY,CUST24437944,2025-12-08 20:58:32.794066,167.29,3,Home & Garden,Tools
TXNB8YQKIY2IM,CUST24437944,2026-01-03 20:58:32.794066,241.47,2,Electronics,Smartphone
TXN7NAIPMGT1Z,CUST24437944,2025-12-04 20:58:32.794066,292.51,1,Health & Beauty,Makeup
TXN2J14JR0WQP,CUST24437944,2026-02-10 20:58:32.794066,288.4,3,Electronics,Headphones
TXNUSAUAJS7R9,CUST24437944,2026-01-04 20:58:32.794066,123.53,1,Office Supplies,Desk Accessories
TXNHPBXVOY624,CUST24437944,2026-02-03 20:58:32.794066,282.72,4,Books,Comics
TXNG68ADG70HM,CUST24437944,2025-12-08 20:58:32.794066,223.31,4,Food & Beverages,Snacks
TXNTX5ME8YT0A,CUST24437944,2026-01-30 20:58:32.794066,253.22,3,Home & Garden,Kitchen Appliances
TXN60367B0C8V,CUST24437944,2025-12-05 20:58:32.794066,310.08,4,Food & Beverages,Gourmet Food
TXN9ADYWWV73L,CUST24437944,2026-01-06 20:58:32.794066,169.38,3,Electronics,Camera
TXNN7Q8CSI4GO,CUST24437944,2025-11-21 20:58:32.794066,241.0,1,Sports & Outdoors,Bicycle
TXNV8I8G4TXOA,CUST24437944,2026-02-10 20:58:32.794066,196.62,2,Office Supplies,Electronics
TXNXH66O5UX92,CUST24437944,2025-12-10 20:58:32.794066,284.25,2,Automotive,Parts
TXNH2B0GXS4O5,CUST24437944,2026-01-26 20:58:32.794066,219.0,2,Health & Beauty,Makeup
TXNUZ15VR4YY8,CUST24437944,2025-11-14 20:58:32.794066,254.99,2,Health & Beauty,Personal Care
TXN38U2VDXZXQ,CUST24437944,2025-12-24 20:58:32.794066,127.03,1,Toys & Games,Video Games
TXNS66GCGZMFP,CUST24437944,2025-12-25 20:58:32.794066,238.95,4,Office Supplies,Furniture
TXNTFUW8TA78R,CUST24437944,2025-12-11 20:58:32.794066,262.25,5,Office Supplies,Stationery
TXNDZ52R48KT5,CUST24437944,2025-12-30 20:58:32.794066,278.86,4,Sports & Outdoors,Fitness Equipment
TXN0WL3LYHMCD,CUST24437944,2026-01-25 20:58:32.794066,165.24,1,Automotive,Cleaning Supplies
TXNZ0DP7KC1L3,CUST24437944,2025-11-23 20:58:32.794066,249.82,2,Health & Beauty,Skincare
TXNJEW95VKZ91,CUST24437944,2025-11-14 20:58:32.794066,264.19,1,Home & Garden,Kitchen Appliances
TXNR7N242JDTF,CUST24437944,2025-12-13 20:58:32.794066,410.66,4,Books,Non-Fiction
TXNF10JLHEX5I,CUST24437944,2025-12-06 20:58:32.794066,174.5,1,Toys & Games,Action Figures
TXNZ199IVTV4V,CUST24437944,2026-01-11 20:58:32.794066,242.31,3,Food & Beverages,Beverages
TXND1NKE7SMPH,CUST24437944,2025-12-04 20:58:32.794066,202.76,2,Food & Beverages,Organic Products
TXNIXGIJDUU95,CUST24437944,2026-01-06 20:58:32.794066,278.34,3,Office Supplies,Electronics
TXNP254YFYI57,CUST24437944,2026-01-30 20:58:32.794066,333.57,1,Sports & Outdoors,Sportswear
TXNP15342HHK0,CUST24437944,2026-02-05 20:58:32.794066,273.3,1,Automotive,Parts
TXN0KZUGZ3CI2,CUST24437944,2025-12-29 20:58:32.794066,318.14,3,Clothing,T-Shirt
TXNGEFKVJQQNY,CUST24437944,2026-01-05 20:58:32.794066,249.83,5,Electronics,Tablet
TXN69OO8OG5NX,CUST24437944,2026-02-09 20:58:32.794066,248.38,4,Home & Garden,Bedding
TXNAJSQNRWIMT,CUST24437944,2025-11-22 20:58:32.794066,390.83,3,Health & Beauty,Personal Care
TXN64YTNSNL08,CUST24437944,2026-01-18 20:58:32.794066,256.88,2,Office Supplies,Stationery
TXN6NM07VB6UD,CUST31044430,2026-02-01 20:58:32.794066,73.08,4,Home & Garden,Kitchen Appliances
TXNORSX2ESJGF,CUST31044430,2026-02-06 20:58:32.794066,78.54,1,Food & Beverages,Beverages
TXN7MGCTNT1TZ,CUST31044430,2026-01-24 20:58:32.794066,71.43,4,Clothing,Accessories
TXN7V6M452TJ5,CUST31044430,2025-12-26 20:58:32.794066,70.46,1,Clothing,Dress
TXNI64P2YJIK8,CUST31044430,2026-01-02 20:58:32.794066,78.46,4,Food & Beverages,Beverages
TXNHCU73TI5S0,CUST31044430,2026-01-24 20:58:32.794066,32.77,4,Toys & Games,Action Figures
TXNSQZZBHHL4C,CUST31044430,2026-01-09 20:58:32.794066,95.65,4,Toys & Games,Action Figures
TXN65XFXEN9CO,CUST31044430,2025-12-31 20:58:32.794066,85.03,3,Automotive,Parts
TXNVC407X5WG4,CUST31044430,2026-01-15 20:58:32.794066,75.08,2,Books,Fiction
TXNO3Y173QAZO,CUST31044430,2026-01-28 20:58:32.794066,48.96,4,Electronics,Camera
TXNSNBP9J64XC,CUST31044430,2026-01-04 20:58:32.794066,72.06,3,Toys & Games,Board Games
TXNFBG134Y8I8,CUST31044430,2026-01-10 20:58:32.794066,45.35,2,Books,Fiction
TXNM19V1IEXAW,CUST31044430,2025-12-31 20:58:32.794066,58.58,3,Office Supplies,Desk Accessories
TXN3U86KS83LB,CUST31044430,2025-12-30 20:58:32.794066,84.12,1,Toys & Games,Board Games
TXNHWEKIPJKBK,CUST31044430,2026-02-07 20:58:32.794066,41.87,1,Food & Beverages,Snacks
TXNFLHIJ9CVIH,CUST31044430,2026-01-26 20:58:32.794066,71.31,3,Home & Garden,Furniture
TXNRX5NZA3S76,CUST31044430,2026-01-04 20:58:32.794066,76.51,2,Toys & Games,Puzzles
TXNC5QXDYKODN,CUST31044430,2026-01-21 20:58:32.794066,76.2,4,Books,Magazines
TXN69M67L2K57,CUST31044430,2026-01-26 20:58:32.794066,73.57,3,Sports & Outdoors,Camping Gear
TXNJ3V4H5J175,CUST31044430,2026-01-04 20:58:32.794066,73.31,2,Toys & Games,Puzzles
TXN4LEBPO68VK,CUST31044430,2026-02-04 20:58:32.794066,104.38,4,Clothing,Shoes
TXN4218KND2A2,CUST31044430,2026-01-04 20:58:32.794066,65.56,2,Electronics,Tablet
TXN5B92WS8975,CUST31044430,2026-01-24 20:58:32.794066,75.57,2,Toys & Games,Action Figures
TXNJY203PUAAT,CUST31044430,2025-12-13 20:58:32.794066,71.36,5,Home & Garden,Bedding
TXN90CZKH950N,CUST98357680,2025-11-26 20:58:32.794066,108.53,2,Sports & Outdoors,Fitness Equipment
TXNND6HNOCTNC,CUST98357680,2025-11-28 20:58:32.794066,171.31,1,Clothing,Jacket
TXNP0ZBFAVSLH,CUST98357680,2025-11-29 20:58:32.794066,227.93,5,Health & Beauty,Skincare
TXN47O651NSHI,CUST57741872,2024-03-14 20:58:32.794066,97.28,2,Health & Beauty,Skincare
TXNQGFNWQ30NV,CUST57741872,2024-02-25 20:58:32.794066,178.84,3,Books,Comics
TXNW9WF8R3O8Q,CUST57741872,2024-12-26 20:58:32.794066,164.59,5,Books,Non-Fiction
TXNSMT836PEAF,CUST25357317,2026-01-30 20:58:32.794066,398.62,4,Home & Garden,Kitchen Appliances
TXNU6TJKHTLPS,CUST25357317,2026-02-02 20:58:32.794066,280.89,1,Toys & Games,Puzzles
TXN10AIY9AWWR,CUST25357317,2026-01-20 20:58:32.794066,276.42,4,Sports & Outdoors,Sportswear
TXNPEFSF9DJNH,CUST25357317,2026-01-16 20:58:32.794066,380.42,1,Toys & Games,Board Games
TXN8XDA6NRQS5,CUST25357317,2026-01-11 20:58:32.794066,291.11,4,Books,Fiction
TXNAVFC4KGXP6,CUST25357317,2026-01-18 20:58:32.794066,435.24,4,Home & Garden,Decor
TXNKB04MXCZ1T,CUST25357317,2026-01-20 20:58:32.794066,243.26,1,Sports & Outdoors,Bicycle
TXNY0KTLD52J3,CUST25357317,2026-01-18 20:58:32.794066,319.21,2,Automotive,Parts
TXNYXQK34M3RI,CUST25357317,2026-01-15 20:58:32.794066,234.29,3,Health & Beauty,Makeup
TXND6CLCD7U9Y,CUST25357317,2026-01-25 20:58:32.794066,240.6,1,Electronics,Camera
TXNK3M0YXNFAD,CUST25357317,2026-01-10 20:58:32.794066,392.28,5,Automotive,Car Accessories
TXNVEUKIQB5VM,CUST25357317,2026-02-05 20:58:32.794066,329.13,5,Sports & Outdoors,Bicycle
TXNANVDWV5WVQ,CUST25357317,2026-01-02 20:58:32.794066,254.13,3,Books,Fiction
TXNE8FWOULBGP,CUST25357317,2026-01-03 20:58:32.794066,468.52,2,Home & Garden,Decor
TXNDO9WZUMGAN,CUST25357317,2026-01-19 20:58:32.794066,255.76,1,Food & Beverages,Organic Products
TXNLF9LFPYIF5,CUST25357317,2026-01-24 20:58:32.794066,330.42,4,Electronics,Laptop
TXN7XHGV8TQ1N,CUST25357317,2026-01-05 20:58:32.794066,320.97,3,Automotive,Car Accessories
TXNY5OITML9CB,CUST25357317,2026-01-28 20:58:32.794066,354.9,1,Home & Garden,Decor
TXNWFJY0Y0JVL,CUST25357317,2026-01-27 20:58:32.794066,441.73,2,Home & Garden,Tools
TXNKE9RKEV10A,CUST25357317,2026-01-03 20:58:32.794066,268.0,1,Electronics,Camera
TXNP95UXK4C34,CUST25357317,2026-01-12 20:58:32.794066,230.7,3,Electronics,Laptop
TXNEXIWCT3NTZ,CUST25357317,2026-01-14 20:58:32.794066,374.45,1,Automotive,Car Accessories
TXNNBRBXZCP2M,CUST25357317,2026-01-10 20:58:32.794066,327.56,3,Automotive,Cleaning Supplies
TXN7SZ62WVD3B,CUST25357317,2025-12-29 20:58:32.794066,261.7,4,Food & Beverages,Snacks
TXN9ST5MOK9OP,CUST25357317,2026-01-15 20:58:32.794066,337.11,3,Food & Beverages,Beverages
TXNENXD26ETO3,CUST25357317,2026-01-21 20:58:32.794066,387.3,3,Sports & Outdoors,Bicycle
TXNBNGCUHSOMI,CUST25357317,2026-01-16 20:58:32.794066,310.2,2,Health & Beauty,Makeup
TXN2S65VUVJD0,CUST25357317,2026-01-18 20:58:32.794066,281.65,3,Office Supplies,Stationery
TXN64TFM21D3T,CUST25357317,2026-01-29 20:58:32.794066,364.42,2,Toys & Games,Video Games
TXN6TKVXA6ZS8,CUST25357317,2026-01-22 20:58:32.794066,309.87,4,Electronics,Headphones
TXN0DHYBXN61J,CUST25357317,2026-02-03 20:58:32.794066,306.2,4,Food & Beverages,Snacks
TXNX93LD7REAE,CUST25357317,2026-01-29 20:58:32.794066,234.08,3,Office Supplies,Furniture
TXNAR4RON2UPF,CUST25357317,2026-02-02 20:58:32.794066,301.09,4,Books,Educational
TXNA13R245CSO,CUST25357317,2025-12-31 20:58:32.794066,343.8,3,Sports & Outdoors,Sportswear
TXN0KAJ9RUMTW,CUST25357317,2026-01-06 20:58:32.794066,156.48,5,Electronics,Smartphone
TXNP200OYD4IC,CUST52660703,2025-09-27 20:58:32.794066,104.45,2,Electronics,Smartphone
TXNOQ9JL69DBN,CUST52660703,2025-06-16 20:58:32.794066,25.06,4,Office Supplies,Stationery
TXNJBRVX5EBJI,CUST52660703,2025-09-13 20:58:32.794066,62.7,3,Electronics,Smart Watch
TXNIHRBEHRG5F,CUST52660703,2025-04-17 20:58:32.794066,127.79,2,Food & Beverages,Snacks
TXNV8IVX4PS76,CUST52660703,2025-10-02 20:58:32.794066,112.65,3,Automotive,Car Accessories
TXNSJQOT16JXI,CUST52660703,2025-11-02 20:58:32.794066,73.66,1,Automotive,Car Accessories
TXNYY9K8FVZEO,CUST36932919,2025-09-16 20:58:32.794066,212.04,1,Food & Beverages,Beverages
TXNY2FE9O3ADJ,CUST36932919,2025-07-18 20:58:32.794066,137.97,4,Health & Beauty,Skincare
TXNTQE1KO3LVD,CUST36932919,2025-08-30 20:58:32.794066,165.63,5,Home & Garden,Tools
TXNB142YQ3W8C,CUST36932919,2025-10-04 20:58:32.794066,149.21,1,Clothing,Jacket
TXNXCMPCY1K64,CUST36932919,2025-08-12 20:58:32.794066,165.36,4,Books,Magazines
TXNV9LGZLZ4IO,CUST42924886,2025-06-21 20:58:32.794066,140.71,2,Books,Non-Fiction
TXNG76UTYY63E,CUST42924886,2025-07-23 20:58:32.794066,81.54,4,Books,Magazines
TXNXC61KAGG3D,CUST42924886,2025-08-30 20:58:32.794066,139.83,4,Food & Beverages,Organic Products
TXNTM9PLQMKSH,CUST42924886,2025-06-12 20:58:32.794066,144.62,3,Office Supplies,Electronics
TXNGUW5D8Z73R,CUST42924886,2025-06-04 20:58:32.794066,150.21,2,Electronics,Smart Watch
TXNA89XBT7AUX,CUST42924886,2025-10-10 20:58:32.794066,87.99,4,Toys & Games,Puzzles
TXN77KQ13WO2W,CUST94409592,2025-11-19 20:58:32.794066,102.76,2,Sports & Outdoors,Camping Gear
TXNQI6VC23474,CUST94409592,2025-11-18 20:58:32.794066,184.82,4,Office Supplies,Furniture
TXN8LJJ2VGUCH,CUST94409592,2025-11-17 20:58:32.794066,202.4,5,Automotive,Tools
TXN4F2V1GN16Q,CUST94409592,2025-11-18 20:58:32.794066,180.54,5,Sports & Outdoors,Sportswear
TXNCR1E9SHLDI,CUST94409592,2025-11-17 20:58:32.794066,195.2,3,Toys & Games,Action Figures
TXNQLLHBCQM0L,CUST94409592,2025-11-18 20:58:32.794066,135.93,1,Office Supplies,Stationery
TXNWSX4QMQQHI,CUST94409592,2025-11-16 20:58:32.794066,107.76,5,Toys & Games,Video Games
TXNNQHN8964JE,CUST94409592,2025-11-21 20:58:32.794066,156.06,4,Office Supplies,Electronics
TXNL6D0IURQRQ,CUST94409592,2025-11-17 20:58:32.794066,162.15,5,Office Supplies,Electronics
TXNWAHOMFQF4E,CUST94409592,2025-11-20 20:58:32.794066,108.98,1,Books,Non-Fiction
TXNTIQOSUD36D,CUST42460283,2025-04-18 20:58:32.794066,322.35,3,Health & Beauty,Makeup
TXN5FVPECSQPW,CUST42460283,2025-04-18 20:58:32.794066,282.93,2,Books,Educational
TXNRHDSJJAFUF,CUST42460283,2025-09-16 20:58:32.794066,359.56,3,Automotive,Parts
TXNVVA0SDNCQX,CUST42460283,2025-06-07 20:58:32.794066,265.64,3,Electronics,Headphones
TXN4L5J8ONQO6,CUST42460283,2026-01-03 20:58:32.794066,332.73,2,Automotive,Cleaning Supplies
TXNDU5VH1AN9E,CUST42460283,2025-10-04 20:58:32.794066,360.65,2,Office Supplies,Electronics
TXN4HL8L3HY9X,CUST42460283,2025-11-28 20:58:32.794066,353.72,2,Health & Beauty,Skincare
TXNT8T6GBAA0R,CUST42460283,2025-01-26 20:58:32.794066,272.21,2,Office Supplies,Desk Accessories
TXNIYA9V8FOFK,CUST42460283,2025-05-19 20:58:32.794066,375.82,1,Home & Garden,Bedding
TXNTY89H6VTHZ,CUST42460283,2025-10-27 20:58:32.794066,416.43,3,Health & Beauty,Skincare
TXNXEHJLT9BAL,CUST42460283,2025-11-27 20:58:32.794066,215.93,2,Food & Beverages,Snacks
TXN09K67RP2K7,CUST42460283,2025-01-09 20:58:32.794066,395.04,5,Books,Comics
TXNN2RE39FCDT,CUST42460283,2025-09-30 20:58:32.794066,344.05,1,Home & Garden,Tools
TXNGOVS3ZFOLS,CUST42460283,2025-10-06 20:58:32.794066,234.92,3,Electronics,Smartphone
TXN8QXFZ6COFX,CUST42460283,2025-06-19 20:58:32.794066,303.93,5,Electronics,Tablet
TXNYK3I45MB3R,CUST42460283,2025-04-18 20:58:32.794066,269.33,3,Health & Beauty,Makeup
TXNE2M2Q5C09M,CUST42460283,2024-12-27 20:58:32.794066,303.21,5,Electronics,Smartphone
TXNENPS8NO4ZA,CUST42460283,2025-09-09 20:58:32.794066,291.42,2,Automotive,Cleaning Supplies
TXN6DJ5C0PIR1,CUST42460283,2025-03-16 20:58:32.794066,359.35,2,Home & Garden,Kitchen Appliances
TXND856UN6CTO,CUST42460283,2025-12-23 20:58:32.794066,293.48,3,Books,Magazines
TXNTVJJ0C0NUW,CUST42460283,2025-04-17 20:58:32.794066,290.21,1,Electronics,Laptop
TXNYLXHXUROXH,CUST42460283,2025-09-20 20:58:32.794066,291.83,5,Books,Non-Fiction
TXNQZUM09PM52,CUST42460283,2026-01-13 20:58:32.794066,360.55,3,Toys & Games,Board Games
TXNN4PMDMYRHI,CUST42460283,2025-08-09 20:58:32.794066,296.91,2,Books,Comics
TXNXEH7A5CRP1,CUST42460283,2025-06-06 20:58:32.794066,491.73,4,Food & Beverages,Snacks
TXN2BVXF3XTFI,CUST42460283,2025-12-21 20:58:32.794066,453.32,4,Clothing,Jacket
TXNZPLDXH11FU,CUST42460283,2025-11-10 20:58:32.794066,398.02,4,Clothing,Dress
TXNL57SWCBA7M,CUST42460283,2025-12-27 20:58:32.794066,389.86,3,Food & Beverages,Gourmet Food
TXNYR5COL5265,CUST18346166,2025-09-03 20:58:32.794066,436.21,1,Office Supplies,Electronics
TXN8HI24TL5OW,CUST18346166,2025-12-21 20:58:32.794066,581.7,2,Sports & Outdoors,Fitness Equipment
TXNMLNF70XAB0,CUST18346166,2025-10-15 20:58:32.794066,277.57,5,Food & Beverages,Beverages
TXNSXUUBV2C8R,CUST18346166,2025-08-19 20:58:32.794066,388.68,1,Food & Beverages,Beverages
TXNWY3CIY85GI,CUST18346166,2025-09-09 20:58:32.794066,389.03,3,Office Supplies,Desk Accessories
TXN6K7UH5S6EX,CUST18346166,2026-02-07 20:58:32.794066,552.54,4,Health & Beauty,Personal Care
TXNQZTECKDHLN,CUST18346166,2026-01-21 20:58:32.794066,447.55,1,Health & Beauty,Supplements
TXNFK3N81F4RT,CUST18346166,2026-01-30 20:58:32.794066,668.31,3,Food & Beverages,Gourmet Food
TXN99Z8QNMB2E,CUST18346166,2026-01-09 20:58:32.794066,361.32,4,Office Supplies,Electronics
TXNWE4BMBONG3,CUST18346166,2025-10-08 20:58:32.794066,552.87,2,Food & Beverages,Snacks
TXNQTGZ0H8WJM,CUST18346166,2025-09-18 20:58:32.794066,662.76,2,Food & Beverages,Snacks
TXNXT66U23YJW,CUST18346166,2025-08-17 20:58:32.794066,329.57,2,Food & Beverages,Beverages
TXN2EDFXUKLSS,CUST18346166,2025-11-20 20:58:32.794066,574.64,5,Sports & Outdoors,Bicycle
TXN73DVOZAMBO,CUST18346166,2026-01-08 20:58:32.794066,386.04,1,Food & Beverages,Beverages
TXNPYZNO0SNED,CUST18346166,2025-09-30 20:58:32.794066,216.38,5,Food & Beverages,Snacks
TXN3NR9DEDVT4,CUST18346166,2025-09-29 20:58:32.794066,399.52,5,Home & Garden,Bedding
TXNKWWPY7UYKA,CUST18346166,2026-01-06 20:58:32.794066,609.67,2,Home & Garden,Bedding
TXNCOR5LQMW81,CUST18346166,2025-12-17 20:58:32.794066,460.68,5,Electronics,Tablet
TXN8H8R6XIS9Z,CUST18346166,2025-09-10 20:58:32.794066,456.13,2,Toys & Games,Board Games
TXN7WP2DHQ2D7,CUST18346166,2025-09-18 20:58:32.794066,377.29,3,Clothing,Jeans
TXN6I5HN4EBOA,CUST18346166,2025-08-26 20:58:32.794066,752.64,2,Toys & Games,Video Games
TXN6H8O6AVMXF,CUST18346166,2025-10-10 20:58:32.794066,290.81,5,Books,Fiction
TXNZ64D460WXK,CUST18346166,2025-11-17 20:58:32.794066,230.85,4,Automotive,Cleaning Supplies
TXNBSXHPYYQBB,CUST18346166,2026-01-10 20:58:32.794066,207.33,4,Toys & Games,Video Games
TXN45SLHMOHKA,CUST18346166,2025-10-26 20:58:32.794066,411.29,2,Sports & Outdoors,Sportswear
TXN71A2L3HQ19,CUST18346166,2025-12-25 20:58:32.794066,481.04,3,Health & Beauty,Skincare
TXNHCMSTKGKRT,CUST18346166,2025-11-03 20:58:32.794066,621.87,5,Electronics,Smart Watch
TXNORJ3FNW2IT,CUST18346166,2025-10-17 20:58:32.794066,361.87,4,Clothing,T-Shirt
TXN1PPGOFC2BN,CUST18346166,2025-12-27 20:58:32.794066,539.08,3,Books,Non-Fiction
TXNHVB9K4XA5K,CUST18346166,2025-08-27 20:58:32.794066,361.25,5,Electronics,Camera
TXN2NVEJU2YT2,CUST18346166,2025-12-20 20:58:32.794066,290.3,2,Electronics,Smart Watch
TXN8Q2BZUN9LE,CUST18346166,2025-09-05 20:58:32.794066,377.14,2,Health & Beauty,Personal Care
TXNV3VQR29NZ5,CUST18346166,2025-12-26 20:58:32.794066,588.38,2,Sports & Outdoors,Camping Gear
TXNHZSR5FKZRF,CUST18346166,2025-11-22 20:58:32.794066,298.34,1,Electronics,Camera
